ImageID,original_firstorder_Minimum,wavelet-LLH_firstorder_Mean,wavelet-LHL_firstorder_Mean,wavelet-LHH_firstorder_Mean,wavelet-LHH_firstorder_Skewness,wavelet-HLL_firstorder_Mean,wavelet-HLH_firstorder_Mean,wavelet-HLH_firstorder_Skewness,wavelet-HHL_firstorder_Mean,wavelet-HHL_firstorder_Skewness,wavelet-HHL_glcm_Idmn,wavelet-HHH_firstorder_Mean,wavelet-HHH_firstorder_Skewness,wavelet-HHH_glcm_Idmn
UCSF-PDGM-0279_T2,0.0,-0.3793429047442273,-0.1720871897260416,-0.0038495717465299,0.0973023429362048,3.5598371627283523e-06,-2.802911665788662e-17,-0.0518859709716077,-1.3181431447577305e-17,0.1138397213041269,0.9993906208789552,-5.8075277344343584e-18,0.2598761057556889,0.9995036968002384
UCSF-PDGM-0373_T2,0.0,-0.2490146865656881,-0.1251439467597303,0.001102910303777,0.2036118118956219,-0.0185115747283953,-2.482606899457087e-17,0.1404649907793842,-1.0944338318757828e-17,0.8107783947131073,0.999342741005376,1.5523381423626713e-17,-0.2524588363532358,0.9994872068019388
UCSF-PDGM-0253_T2,0.0,-0.1573200442749015,-0.1490536725977421,-0.0006612442486503,0.3418840771323909,-0.006907923721935,-6.452909181198236e-18,0.4206429160417831,-1.0328956629371309e-17,0.4330903887118897,0.9993433969084088,-3.245813318142713e-18,-0.2284462019507513,0.9995760208279784
UCSF-PDGM-0203_T2,-37.05929355695844,-0.0353267229536686,-0.0264295457279881,-0.0002781250550652,0.3786119314182096,3.326426837017208e-14,-7.361642067519997e-18,0.243590378912255,-7.653037438024265e-18,0.3223016139766395,0.9994495670172986,-3.114021502108406e-18,0.0124109492870296,0.9995172617751962
UCSF-PDGM-0378_T2,0.0,-0.2192169758784318,-0.1332040470571119,-0.0003020489334613,0.0947181077281045,1.1513230720115277e-13,-3.155990667912007e-17,0.1708113170832854,-1.1038943619588364e-17,0.4503612626842864,0.998985296686398,4.708817678663223e-18,-0.0132762738140259,0.9992841733841394
UCSF-PDGM-0057_T2,0.0,-0.0091280721037288,-0.1162503007574797,8.7431821308635e-05,0.2441398637704351,-0.0412064013963958,3.1382993867931306e-18,0.3136906295292315,4.8718051224699545e-06,0.3591795622371067,0.9995111462795828,3.3612571473188e-18,0.0615442125641569,0.999581868314766
UCSF-PDGM-0536_T2,0.0,-0.1084925023905485,-0.0668915016447169,0.0010496610944296,0.0763993658248305,5.768238210420128e-14,-2.1339993176332264e-17,-0.0190117934912982,-1.196806973276556e-17,0.2536211829566823,0.999430431073966,-2.2169698843810546e-18,-0.0623768400862456,0.9995820751546632
UCSF-PDGM-0072_T2,0.0,-0.2551618698228186,-0.2454911854079327,-0.0008653283927153,0.2190586582151282,-0.0067407554094881,-1.7541489481961398e-17,0.2528244440019005,-4.426192245069017e-17,0.2862324436207992,0.998924112313486,-4.813460853273689e-18,-0.0335967523491573,0.9993138805566534
UCSF-PDGM-0419_T2,0.0,-0.378498611376803,-0.2649828283484049,0.0007918991230246,0.0565544106439875,-0.1198156249312928,-3.959462341367565e-17,-0.0014165981158155,-2.701933184721353e-17,0.1882901084531587,0.9992592655075824,5.385913325025953e-19,-0.0194323933689709,0.9993943873313824
UCSF-PDGM-0291_T2,0.0,-0.0344203037878234,-0.1043651678632998,0.0004668885068376,0.0806798098711708,9.211905641309477e-14,-2.879975269576444e-18,0.1159170747914133,-1.933750836691056e-17,0.1402499858577807,0.9992110151406008,2.1720743715959282e-18,0.1117417031925223,0.9993494143719132
UCSF-PDGM-0340_T2,0.0,0.0155695707695904,-0.1063416942346837,0.0021022704117986,-0.1868947553550161,0.0025541289480504,-8.623285928649049e-06,0.5192045137166841,-1.4611968012476386e-05,0.4812911469983216,0.9987824434942092,8.569590421000142e-07,-0.0352408056732741,0.9992738982093278
UCSF-PDGM-0069_T2,0.0,-0.0784724952345503,-0.2545196267492034,-0.0017899364982374,0.17941258010864,1.2151090848849298e-13,-1.4215746773808376e-17,0.177700851653242,7.712186508867702e-18,0.4079513002449448,0.9988376809703806,-1.0546702819029897e-17,-0.1204146247860368,0.9992184386393176
UCSF-PDGM-0539_T2,0.0,-0.0017848429760711,-0.0029066581671697,0.0034369508335757,0.0979398684595333,1.1935894138804718e-13,-9.921946439115882e-18,-0.073413876376447,-8.634167676547706e-18,0.1435430585974846,0.9988620802441188,-3.5954091626064535e-18,0.1384428525815036,0.9990668127545944
UCSF-PDGM-0464_T2,0.0,-0.0729647408107736,-0.2520675874034968,-0.0001493212028643,-0.0018317353695674,0.0004772698221496,5.662571374459312e-18,-0.143081132821202,-3.9003482326358705e-17,0.0768467683959088,0.9991758143584264,-8.842454364541333e-19,0.1667351507312416,0.9994860942554126
UCSF-PDGM-0267_T2,0.0,-0.3313282108012401,0.0009066724748469,0.001548178135693,0.1898874305649777,0.0009653991071718,2.1186372832813666e-07,0.3125926901628444,-4.761528316852019e-05,0.45083890204203,0.9994794556369714,1.2661521510350322e-06,-0.4011649678745616,0.9996931242009578
UCSF-PDGM-0276_T2,0.0,-0.2141508134077828,-0.0777332896527046,-2.336045949331031e-05,0.0773499647497854,-0.011523907596983,-1.6998370690733865e-17,0.03529041768898,-1.203760876347162e-17,0.1666194010694796,0.9996951071194392,-3.5310319039516755e-18,0.0896916106323872,0.9997247709079276
